StudentName,StudentNumber,CourseName,CourseCode,Grades,CourseWeight,Instructor,Department,UniversityName,Location,Ranking
Michael Bernard,972332,ANIMAL SCIENCES,2403,16,1.0,Katherine Cochrane,Health,Western Sydney University,Australia,413
Janette Hewitt,185472,SCIENCE AND COMPUTER TEACHER EDUCATION,6402,87,0.5,Bertha Hirsch,Health,University of Bradford,United Kingdom,138
Stephanie Atkinson,830564,NATURAL RESOURCES MANAGEMENT,2417,37,0.5,Shana Farrell,Computers & Mathematics,Chalmers University of Technology,Sweden,757
Steve Schuman,353608,COMMERCIAL ART AND GRAPHIC DESIGN,5000,81,0.5,Helen Martinez,Humanities & Liberal Arts,Colorado State University,United States of America,499
Patricia Judd,971088,MISCELLANEOUS ENGINEERING TECHNOLOGIES,2411,93,1.0,Kelly Johnson,Humanities & Liberal Arts,Huazhong University of Science and Technology,China,700
Velda Harris,489116,ADVERTISING AND PUBLIC RELATIONS,6103,72,0.5,Peggy Mejia,Business,University of Strathclyde,United Kingdom,668
Bernard McCulley,912280,SOIL SCIENCE,1401,38,0.5,Jeannette Parks,Law & Public Policy,Royal College of Surgeons in Ireland,Republic of Ireland,67
Kendra Gonzales,982605,MOLECULAR BIOLOGY,5404,43,0.5,David Guynn,Arts,Suez Canal University,Egypt,431
Allen Davis,796211,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,2418,64,0.5,Cynthia Schreiber,Biology & Life Science,University of Bonn,Germany,104
Gregory Byrd,902922,ECONOMICS,1902,69,1.0,Charles Allen,Arts,Istanbul University,Turkey,134
Roman Newman,304542,AGRICULTURE PRODUCTION AND MANAGEMENT,2100,50,0.5,Chuck Mahoney,Biology & Life Science,Toyohashi University of Technology,Japan,586
Kenneth Greenlee,747682,CRIMINAL JUSTICE AND FIRE PROTECTION,3608,75,0.5,Gene Spring,Engineering,University of Ghana,Ghana,635
Wilma Russell,673486,SECONDARY TEACHER EDUCATION,1104,10,0.5,Sylvester Dudley,Business,University of La Laguna,Spain,638
Tamika Dyson,327727,CRIMINOLOGY,5002,40,0.5,George Correa,Health,University of Science and Technology Beijing,China,271
Sandra Jones,521844,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,6206,25,1.0,Tony Ragsdale,Education,Paris Dauphine University,France,639
Gladys Blankenship,727039,ELECTRICAL ENGINEERING,4007,57,0.5,Dorothy Fernandez,Social Science,Taipei Medical University,Taiwan,317
Barbara Lucio,964455,COMPOSITION AND RHETORIC,6211,29,1.0,Suzette Childs,Biology & Life Science,National Taipei University of Technology,Taiwan,589
Greg Gerard,707300,AEROSPACE ENGINEERING,4002,41,1.0,Roseanna Speakman,Agriculture & Natural Resources,University of Montreal,Canada,597
Michael Bernard,353357,BIOLOGICAL ENGINEERING,5200,43,1.0,Bertha Hirsch,Humanities & Liberal Arts,Wuhan University,China,732
Ronald Hendon,404607,ENGINEERING TECHNOLOGIES,6105,27,1.0,Latonya Doll,Psychology & Social Work,Glasgow Caledonian University,United Kingdom,775
Mark Clark,743169,TEACHER EDUCATION: MULTIPLE LEVELS,6007,4,0.5,Charles Camacho,Humanities & Liberal Arts,University of Naples Federico II,Italy,139
Martha Claassen,627944,MISCELLANEOUS FINE ARTS,6002,100,0.5,Albert Cash,Humanities & Liberal Arts,Carlos III University of Madrid,Spain,316
Maria Ball,961332,PSYCHOLOGY,2304,31,0.5,Chad Pardee,Business,Ecole Polytechnique Federale de Lausanne,Switzerland,257
Doris Potts,165503,ADVERTISING AND PUBLIC RELATIONS,2499,23,0.5,Joseph Rives,Agriculture & Natural Resources,Prince of Songkla University,Thailand,46
Robert Meister,635826,LANGUAGE AND DRAMA EDUCATION,4801,21,1.0,Brandon Hanes,Biology & Life Science,Portland State University,United States of America,615
Richard Crossley,392321,NAVAL ARCHITECTURE AND MARINE ENGINEERING,2305,16,1.0,Tina Lovato,Education,National University of Science and Technology (MISiS),Russian Federation,232
Katherine Lloyd,627731,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,2503,71,0.5,Vicki Browne,Engineering,Linkoping University,Sweden,746
Shannon Richardson,791529,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,2303,64,1.0,Brice Suggs,Biology & Life Science,Shanghai Jiao Tong University,China,797
Mary Bridges,391231,FOOD SCIENCE,2602,80,1.0,Kris Dawkins,Health,Kazan Federal University,Russian Federation,671
Shawn McCleery,756628,PETROLEUM ENGINEERING,6000,14,1.0,Thomas Adolph,Engineering,University of Urbino Carlo Bo,Italy,389
Claretta Brown,375222,FOOD SCIENCE,5505,21,0.5,Melida Williams,Education,University of Brasília,Brazil,524
Louise Hamm,423479,ELECTRICAL ENGINEERING TECHNOLOGY,2300,20,1.0,Walter Gooding,Engineering,University of A Coruna,Spain,457
Miguel Tyler,763593,BIOLOGICAL ENGINEERING,6212,42,1.0,Luis Osborne,Education,Missouri University of Science and Technology,United States of America,169
Rodney Vigil,720200,BIOLOGICAL ENGINEERING,1302,50,1.0,Maria Nelson,Arts,McMaster University,Canada,649
Alton Hall,349677,COMPUTER ENGINEERING,2312,13,1.0,Mark Wroblewski,Engineering,Northumbria University,United Kingdom,321
Janice Townsend,262243,BUSINESS ECONOMICS,6211,13,0.5,Lance Fossum,Psychology & Social Work,National and Kapodistrian University of Athens,Greece,423
Luis Cuevas,221238,NAVAL ARCHITECTURE AND MARINE ENGINEERING,2100,31,0.5,Luis Barber,Business,Sultan Qaboos University,Oman,51
James Delong,322926,SCIENCE AND COMPUTER TEACHER EDUCATION,2402,48,0.5,Erin Valentine,Business,Ecole Polytechnique,France,793
Erin Valentine,492954,INFORMATION SCIENCES,5504,1,1.0,Anderson Richardson,Business,Chungnam National University,South Korea,173
Angie Nadler,170300,PHYSICS,4006,11,1.0,Maya Bowers,Education,China University of Geosciences (Wuhan),China,337
Jacki Sprenger,324402,APPLIED MATHEMATICS,1301,74,0.5,Dora Marin,Engineering,University of Genoa,Italy,590
Freddie Richardson,468008,APPLIED MATHEMATICS,5506,29,1.0,Zula Hoffman,Social Science,Aix-Marseille University,France,379
Christopher Allred,728478,MEDICAL ASSISTING SERVICES,6104,64,0.5,Rodney Plumb,Business,University of Lisbon,Portugal,608
Latonya Doll,190606,PRE-LAW AND LEGAL STUDIES,6403,64,1.0,Andrew Taylor,Industrial Arts & Consumer Services,East China Normal University,China,419
Michael Fletcher,807179,SPECIAL NEEDS EDUCATION,6105,3,1.0,Sarah Newsom,Physical Sciences,Syracuse University,United States of America,206
William Mazur,568201,SOCIAL PSYCHOLOGY,2300,56,0.5,Joseph Hickey,Health,University of Zurich,Switzerland,365
John Harris,905916,HISTORY,3604,86,0.5,Brittany Plumley,Psychology & Social Work,Maastricht University,Netherlands,737
Robert Halley,756884,AEROSPACE ENGINEERING,4101,15,0.5,Clifford Arredondo,Industrial Arts & Consumer Services,National Institute of Applied Sciences of Lyon (INSA Lyon),France,211
Phyllis Briggs,424656,COMMUNITY AND PUBLIC HEALTH,1105,59,0.5,Robert Woods,Social Science,Federal University of Minas Gerais,Brazil,579
Ronald Collins,253691,HEALTH AND MEDICAL PREPARATORY PROGRAMS,3611,69,0.5,Helen Leonard,Engineering,Technion Israel Institute of Technology,Israel,97
James Smith,695701,MULTI/INTERDISCIPLINARY STUDIES,4000,4,1.0,Brad Butler,Communications & Journalism,Charite - Universitatsmedizin Berlin,Germany,564
Katina Joslyn,880931,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,3608,75,0.5,George Collins,Biology & Life Science,University of Salford,United Kingdom,199
Krista Baker,575062,LIBRARY SCIENCE,2307,9,1.0,Jack Hyde,Business,Graz University of Technology,Austria,339
Krista Baker,387676,MISCELLANEOUS PSYCHOLOGY,1501,95,1.0,Phillip Rodriguez,Health,University of Illinois at Urbana-Champaign,United States of America,794
William Register,740724,CLINICAL PSYCHOLOGY,2303,80,1.0,Gail Knox,Communications & Journalism,University of York,United Kingdom,47
Michael Turner,799977,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",5003,62,1.0,Lawrence Aldridge,Health,Karlsruhe Institute of Technology,Germany,572
Dwayne Barrera,458040,CRIMINOLOGY,4002,46,0.5,Alice Gutierrez,Engineering,Ohio State University,United States of America,145
Luis Buchheit,175265,MARKETING AND MARKETING RESEARCH,2313,90,0.5,James Smith,Humanities & Liberal Arts,University of South Australia,Australia,453
Karen Mitchell,700841,VISUAL AND PERFORMING ARTS,6211,53,1.0,Annie Randall,Engineering,University of Wisconsin,United States of America,565
Patricia Ware,296234,INTERCULTURAL AND INTERNATIONAL STUDIES,6006,7,0.5,Bobbie Harp,Education,University of Brighton,United Kingdom,598
Janette Hewitt,883102,ACTUARIAL SCIENCE,1102,71,1.0,Wilbert Jennings,Engineering,New York University,United States of America,602
Berta Treadaway,535172,GENERAL EDUCATION,1303,10,0.5,Heather Baker,Biology & Life Science,University of Essex,United Kingdom,12
Eileen Williams,484363,MOLECULAR BIOLOGY,1102,96,1.0,Marion Wiggin,Social Science,Northwestern Polytechnical University,China,266
Wilma Russell,907735,TRANSPORTATION SCIENCES AND TECHNOLOGIES,5599,75,0.5,Betty Patrick,Engineering,Xi'an Jiaotong University,China,678
David Bryson,733034,BIOMEDICAL ENGINEERING,5501,47,1.0,Agnes Millet,Biology & Life Science,Miami University,United States of America,300
Keith Smith,134590,GEOLOGY AND EARTH SCIENCE,2310,72,1.0,Joseph Fuqua,Health,University of Southampton,United Kingdom,326
Jeff Moeller,719194,COMPUTER PROGRAMMING AND DATA PROCESSING,2201,75,0.5,Michelle Jackson,Education,Sharif University of Technology,Iran,363
Jason Emrick,901541,MUSIC,4005,47,0.5,Maya Bowers,Social Science,Lille 1 University – Science and Technology,France,76
Vernon Dickerson,573328,COURT REPORTING,1303,7,1.0,Veronica Day,Health,Peter the Great St Petersburg Polytechnic University,Russian Federation,610
Ada Burger,622456,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,5701,23,0.5,Virginia Daniels,Health,Auckland University of Technology,New Zealand,335
Clifford Wiggins,897940,FAMILY AND CONSUMER SCIENCES,6104,26,1.0,David Guynn,Education,Middlesex University,United Kingdom,549
Duane Chang,649886,ECOLOGY,5599,100,0.5,Sandra Schweiger,Health,Queen's University Belfast,United Kingdom,629
Bernard Pare,598406,APPLIED MATHEMATICS,2400,2,1.0,Jason Owens,Engineering,Federal University of Parana (UFPR),Brazil,338
Carol Thomas,945458,MATHEMATICS,2407,48,0.5,Donald Kay,Business,Iowa State University,United States of America,633
Mary Carroll,611957,DRAMA AND THEATER ARTS,2403,21,1.0,Eddie Hicks,Humanities & Liberal Arts,Suranaree University of Technology,Thailand,681
Stephanie Wright,456054,MISCELLANEOUS AGRICULTURE,5206,27,0.5,Wanda Harp,Business,Eindhoven University of Technology,Netherlands,346
Elisa Daley,485101,ENGINEERING AND INDUSTRIAL MANAGEMENT,4801,63,0.5,George Collins,Engineering,Wake Forest University,United States of America,414
Diane Combs,673209,CIVIL ENGINEERING,5402,58,0.5,Suzette Childs,Engineering,University of Manitoba,Canada,566
Donna Lahti,956367,MULTI-DISCIPLINARY OR GENERAL SCIENCE,5206,77,0.5,James Little,Biology & Life Science,Pennsylvania State University,United States of America,179
Thomas Camacho,166221,CLINICAL PSYCHOLOGY,2402,52,1.0,Ada Burger,Health,Temple University,United States of America,658
William Denson,327571,ELECTRICAL ENGINEERING,3604,80,1.0,Charles Allen,Education,University of Westminster,United Kingdom,68
James Shearer,974053,MISCELLANEOUS ENGINEERING,6001,43,0.5,Bertha Curtis,Psychology & Social Work,University of British Columbia,Canada,548
Scott Peterson,815521,PETROLEUM ENGINEERING,5901,95,1.0,Ruth Lane,Engineering,Tottori University,Japan,555
Mildred Jennings,997609,MEDICAL ASSISTING SERVICES,5402,98,1.0,Angie Nadler,Arts,Pontifical Catholic University of Paraná,Brazil,56
Christopher Allred,772620,MISCELLANEOUS ENGINEERING TECHNOLOGIES,2416,54,0.5,Martin Rosenthal,Computers & Mathematics,Yale University,United States of America,144
Richard Crossley,795173,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,1302,97,1.0,Phyllis Briggs,Engineering,Saint Louis University,United States of America,126
Kristin Robinson,754189,EDUCATIONAL ADMINISTRATION AND SUPERVISION,2601,35,0.5,Daniel Walker,Humanities & Liberal Arts,University of Bristol,United Kingdom,256
Eric Grimes,660546,INDUSTRIAL PRODUCTION TECHNOLOGIES,3302,33,1.0,Gary Goldstein,Health,Michigan State University,United States of America,750
Michele Stockton,987042,MISCELLANEOUS ENGINEERING TECHNOLOGIES,5005,59,1.0,Heidi Malone,Humanities & Liberal Arts,National Technical University of Athens,Greece,295
Austin Guzman,435479,PLANT SCIENCE AND AGRONOMY,6201,64,1.0,Betty Sewell,Engineering,Princeton University,United States of America,39
Audrey Rosinski,205031,SPECIAL NEEDS EDUCATION,3605,86,0.5,Tony Vasquez,Arts,Tallinn University of Technology,Estonia,156
Ronnie Hicks,311055,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,5500,16,1.0,Kathryn Ellis,Engineering,University of Iowa,United States of America,353
Robert Smalls,244179,CONSTRUCTION SERVICES,5202,43,1.0,Rene McGinnis,Engineering,University of Greifswald,Germany,182
Della Craig,481148,ENGINEERING TECHNOLOGIES,5005,100,1.0,Allen Ramirez,Health,University of Cambridge,United Kingdom,580
John Huang,836527,GEOLOGY AND EARTH SCIENCE,6108,8,0.5,John Westerfield,Business,University of Electronic Science and Technology of China,China,71
Jo Malinowski,877798,MULTI/INTERDISCIPLINARY STUDIES,6007,40,1.0,Alicia Thompson,Humanities & Liberal Arts,Wageningen University and Research Center,Netherlands,669
Tyrone Delatorre,257184,AREA ETHNIC AND CIVILIZATION STUDIES,6204,96,0.5,Myrtle Perez,Biology & Life Science,Texas A&M University,United States of America,291
Mildred Mello,317637,CHEMICAL ENGINEERING,6104,59,1.0,Julian Kay,Psychology & Social Work,University of Turin,Italy,702
Kenneth Marmon,202528,TEACHER EDUCATION: MULTIPLE LEVELS,2901,67,0.5,Stephanie Atkinson,Education,Kyung Hee University,South Korea,588
Adrian Washington,780875,MUSIC,6004,49,0.5,Ruth Hillman,Humanities & Liberal Arts,Yokohama National University,Japan,621
Joseph Scribner,643621,BIOMEDICAL ENGINEERING,2402,76,0.5,Rachel Gunderson,Engineering,University of Granada,Spain,213
Marylyn Fisher,148902,SOCIAL PSYCHOLOGY,2599,57,0.5,Anastacia Wooldridge,Business,Ben-Gurion University of the Negev,Israel,265
Donald Fletcher,283142,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,2407,60,0.5,Patricia Huff,Health,Instituto Superior Tecnico Lisboa,Portugal,63
Ronald Collins,807843,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,2101,80,0.5,Renee Delvecchio,Engineering,Pohang University of Science and Technology,South Korea,568
Charles Camacho,984859,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,1103,17,0.5,Mark Sandberg,Health,Technical University of Madrid,Spain,333
Heather Greenwood,310617,LIBRARY SCIENCE,2405,91,1.0,Patricia Shannon,Engineering,Indian Institute of Science,India,244
Maureen King,539190,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,3600,40,1.0,Jeffrey Hicks,Psychology & Social Work,California Institute of Technology,United States of America,435
Betty Patrick,904018,ENVIRONMENTAL SCIENCE,2406,30,0.5,Herbert Threet,Education,University of Sussex,United Kingdom,328
Dean Hanson,889464,PHYSICAL SCIENCES,5403,52,0.5,Mary Gerow,Humanities & Liberal Arts,Kyushu University,Japan,110
Laura Smith,996114,BIOMEDICAL ENGINEERING,6205,51,1.0,Richard Moore,Computers & Mathematics,University of Auckland,New Zealand,780
Donald Carlson,912028,HUMAN SERVICES AND COMMUNITY ORGANIZATION,2314,97,0.5,Tony Vasquez,Humanities & Liberal Arts,"California State University, Long Beach",United States of America,749
Ruby Martin,434682,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",2408,25,0.5,Brian Roland,Education,Stellenbosch University,South Africa,189
Gladys Melo,149242,AEROSPACE ENGINEERING,5202,93,1.0,Stephen Holst,Industrial Arts & Consumer Services,Bournemouth University,United Kingdom,432
Sherman Little,148193,SOCIAL PSYCHOLOGY,2300,92,1.0,Rene Page,Industrial Arts & Consumer Services,American University,United States of America,653
Richard Eng,328338,SPECIAL NEEDS EDUCATION,1106,91,0.5,Joan Morton,Education,University of Vermont,United States of America,315
Patricia Floyd,508114,PHARMACOLOGY,2599,83,1.0,Bernard Pare,Agriculture & Natural Resources,Cairo University,Egypt,505
Marion Wiggin,143817,COMPUTER SCIENCE,4002,57,0.5,Manuel Lopez,Law & Public Policy,University of St Andrews,United Kingdom,208
Eleanor Deleon,126661,CLINICAL PSYCHOLOGY,4007,94,0.5,Anna Tookes,Engineering,University of Burgundy,France,677
Vera Merrill,389181,SOCIAL WORK,5701,24,0.5,Jodi Albert,Biology & Life Science,Northwestern University,United States of America,648
Clara Spence,879370,PHILOSOPHY AND RELIGIOUS STUDIES,6210,68,1.0,Heather Kendall,Agriculture & Natural Resources,Tufts University,United States of America,327
Cheryl Spencer,442647,VISUAL AND PERFORMING ARTS,2601,19,1.0,Susie Stites,Psychology & Social Work,University of Limerick,Republic of Ireland,19
William Rosen,501701,HISTORY,2406,51,0.5,Velda Harris,Arts,Medical University of South Carolina,United States of America,574
See Ragsdale,821769,THEOLOGY AND RELIGIOUS VOCATIONS,4901,44,0.5,Royal Scott,Engineering,James Cook University,Australia,4
Marilyn Rochester,320336,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,3501,41,1.0,Brad Butler,Law & Public Policy,University of Navarra,Spain,17
Betty Wathen,823525,NUTRITION SCIENCES,5002,56,1.0,Mark Thompson,Humanities & Liberal Arts,University of San Francisco,United States of America,443
Kristin Votaw,346041,MEDICAL TECHNOLOGIES TECHNICIANS,6205,14,0.5,Catherine Powell,Business,Ewha Womans University,South Korea,428
Richard Eng,132382,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,5203,23,0.5,Jay Broussard,Humanities & Liberal Arts,University of Fribourg,Switzerland,418
Mary Baker,382507,NEUROSCIENCE,2601,2,1.0,Elizabeth Bond,Psychology & Social Work,"Rutgers, the State University of New Jersey",United States of America,787
Charles Blankenship,155588,NURSING,5102,24,0.5,John Majors,Industrial Arts & Consumer Services,National Research Nuclear University MePhI,Russian Federation,329
Rodney Badillo,539926,EDUCATIONAL PSYCHOLOGY,6108,92,1.0,Jeremy Gough,Arts,Curtin University,Australia,180
Heidi Malone,847207,ACTUARIAL SCIENCE,3609,40,0.5,Eric Marble,Arts,Khon Kaen University,Thailand,9
Lonnie Johnston,896794,PLANT SCIENCE AND AGRONOMY,2101,65,1.0,Brad Butler,Biology & Life Science,Otto von Guericke University of Magdeburg,Germany,753
Howard Martin,810122,INTERDISCIPLINARY SOCIAL SCIENCES,3609,93,1.0,Harold Tillman,Humanities & Liberal Arts,Lancaster University,United Kingdom,430
Royal Scott,618699,HUMANITIES,1303,93,0.5,Brendan Fitting,Computers & Mathematics,Johns Hopkins University,United States of America,184
Emilio Patten,256849,NEUROSCIENCE,6211,5,0.5,Brendan Fitting,Business,University of Delhi,India,764
Raul Gray,631950,GENERAL AGRICULTURE,5000,62,1.0,Ruby Thomas,Psychology & Social Work,University of Antwerp,Belgium,167
Richard Daniels,864516,HUMANITIES,6299,4,1.0,Martin Rosenthal,Physical Sciences,Autonomous University of Barcelona,Spain,778
Jeffrey Meyer,675476,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,1401,75,1.0,Eric Grimes,Biology & Life Science,Keele University,United Kingdom,522
Joan Morton,430967,TREATMENT THERAPY PROFESSIONS,5005,47,0.5,Vincent Ray,Education,London School of Economics and Political Science,United Kingdom,741
Vilma Cabot,881762,NUTRITION SCIENCES,2400,61,0.5,Carol Thomas,Physical Sciences,National Yang-Ming University,Taiwan,528
Patricia Floyd,225571,GENERAL EDUCATION,5102,57,0.5,Patricia Huff,Engineering,Old Dominion University,United States of America,450
Floyd Kay,427537,MISCELLANEOUS SOCIAL SCIENCES,2419,27,0.5,Carol Thomas,Business,University of Bern,Switzerland,280
Kristin Votaw,777678,LIBERAL ARTS,6007,83,1.0,Christopher Payne,Humanities & Liberal Arts,Feng Chia University,Taiwan,350
Katina Joslyn,539053,CHEMICAL ENGINEERING,6108,38,0.5,Edward Conley,Biology & Life Science,Chiang Mai University,Thailand,800
David Phillips,821966,APPLIED MATHEMATICS,2310,99,1.0,Trisha Bramblett,Engineering,Polytechnic University of Milan,Italy,217
Monica Carroll,290873,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,2312,81,0.5,Dawn Guertin,Physical Sciences,University of Rome III,Italy,709
Derek Rice,320636,MASS MEDIA,5299,72,1.0,Brian Forcier,Industrial Arts & Consumer Services,Sejong University,South Korea,429
William Sheehan,512402,FORESTRY,6103,57,0.5,Nancy Lee,Industrial Arts & Consumer Services,University of Melbourne,Australia,769
Donna Lahti,508744,UNITED STATES HISTORY,5505,4,0.5,Joseph Fuqua,Agriculture & Natural Resources,National Chiao Tung University,Taiwan,62
Vera Merrill,659133,MATHEMATICS AND COMPUTER SCIENCE,2306,5,0.5,Karen Barry,Engineering,The University of Queensland,Australia,530
Brandon Lacy,560579,BIOMEDICAL ENGINEERING,5200,6,0.5,Cindy Roger,Social Science,Shinshu University,Japan,146
John Mendoza,812910,ASTRONOMY AND ASTROPHYSICS,1105,100,1.0,Barbara Lucio,Education,Osaka City University,Japan,630
Scott Peterson,747392,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,6403,72,0.5,Jeffrey Meyer,Education,Niigata University,Japan,227
Helen Martinez,240091,FINANCE,6207,88,1.0,Amber Hall,Agriculture & Natural Resources,Qatar University,Qatar,215
Eric Marble,962862,MOLECULAR BIOLOGY,4101,52,1.0,Leigh Wallace,Computers & Mathematics,University of Michigan,United States of America,318
Joe Fitzgerald,518875,HUMANITIES,5501,79,1.0,William Register,Education,University of Canterbury,New Zealand,201
Jerome Love,809347,MISCELLANEOUS ENGINEERING TECHNOLOGIES,4901,38,0.5,Margaret Miller,Humanities & Liberal Arts,University of Stuttgart,Germany,80
Heather Kendall,155593,COMPOSITION AND RHETORIC,4002,42,1.0,Gertrude Townsend,Business,University of North Carolina at Chapel Hill,United States of America,785
Willia Williamson,698558,ENVIRONMENTAL ENGINEERING,5007,54,0.5,Susie Stites,Engineering,University of Missouri,United States of America,305
Michael Turner,102961,PUBLIC POLICY,3601,28,0.5,Cynthia McMullen,Education,North Carolina State University,United States of America,670
Aaron Macy,908384,ACTUARIAL SCIENCE,5098,8,1.0,Kevin Page,Industrial Arts & Consumer Services,Copenhagen Business School,Denmark,404
Tiffany Rowsey,374803,PUBLIC ADMINISTRATION,2399,94,1.0,Alton Hall,Education,UiT The Arctic University of Norway,Norway,772
Jeremy Gough,798385,PUBLIC ADMINISTRATION,6105,11,0.5,Lucille Humble,Law & Public Policy,University of Graz,Austria,805
Roman Newman,303585,INTERNATIONAL BUSINESS,2107,67,0.5,Mildred Brooks,Business,University of Turku,Finland,557
Ryan Crosby,273747,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,5403,44,1.0,Leonore Flynn,Social Science,Capital Medical University,China,763
Lillian Cleveland,343020,LANGUAGE AND DRAMA EDUCATION,2415,68,0.5,William Johnson,Engineering,San Diego State University,United States of America,575
Tina Mangrum,733629,SOIL SCIENCE,2501,92,1.0,Dennis Atwood,Physical Sciences,Central Queensland University,Australia,69
Thomas Jessup,327311,UNITED STATES HISTORY,5301,81,1.0,Dean Allen,Interdisciplinary,Amrita University,India,484
Ana Hough,218289,INFORMATION SCIENCES,6204,0,0.5,Patrica Jones,Business,University of Cyprus,Cyprus,18
Heather Allen,544465,COMPUTER ENGINEERING,2414,67,1.0,Joseph Larsen,Agriculture & Natural Resources,Yokohama City University,Japan,119
John Carey,919645,NUTRITION SCIENCES,5205,3,1.0,Robert Meister,Education,Nanyang Technological University,Singapore,494
Donald Walker,855752,ELECTRICAL ENGINEERING,6000,76,0.5,Caren Phipps,Industrial Arts & Consumer Services,University of Surrey,United Kingdom,642
John Langford,697726,SOCIAL WORK,5004,81,0.5,Edna Hall,Arts,Umea University,Sweden,472
Helen Calzada,995643,MINING AND MINERAL ENGINEERING,6107,14,0.5,Kenneth Marmon,Biology & Life Science,Toulouse 1 Capitole University,France,426
John Huang,469440,STATISTICS AND DECISION SCIENCE,2499,26,0.5,Kimberly Hays,Computers & Mathematics,University of Calcutta,India,425
Patricia Callender,216522,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,2306,78,0.5,Clement Rother,Business,University of Oulu,Finland,755
Rodney Plumb,730172,GENERAL BUSINESS,2308,67,1.0,Carey Cacho,Agriculture & Natural Resources,Dalian University of Technology,China,665
Tony Vasquez,541446,PHYSICAL SCIENCES,1401,91,1.0,Kay Scott,Engineering,Sun Yat-sen University,China,726
Kerri Syed,926848,FINANCE,6106,48,0.5,Marilyn Rochester,Computers & Mathematics,Novosibirsk State University,Russian Federation,402
Louise Norman,169906,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,5098,59,1.0,Luis Buchheit,Business,University of Indonesia,Indonesia,136
Debra Shaw,930995,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,2308,57,0.5,Cary Clement,Health,University of Medicine and Dentistry of New Jersey,United States of America,109
Debra Shaw,859911,ART AND MUSIC EDUCATION,2603,63,1.0,Michael Turner,Health,University of Tasmania,Australia,21
Matthew Craig,216819,ELECTRICAL ENGINEERING,6210,51,1.0,Elizabeth Bond,Biology & Life Science,Rensselaer Polytechnic Institute,United States of America,74
Victor Hang,895513,COMPOSITION AND RHETORIC,6203,100,0.5,James Smith,Education,University of Guelph,Canada,57
Susan Brown,578887,COMPUTER NETWORKING AND TELECOMMUNICATIONS,1903,99,1.0,Harry Hall,Humanities & Liberal Arts,Washington University in St Louis,United States of America,149
Columbus Scott,999821,SCIENCE AND COMPUTER TEACHER EDUCATION,1904,28,0.5,Sammy Smith,Agriculture & Natural Resources,Utrecht University,Netherlands,593
James Mays,779710,BUSINESS ECONOMICS,5205,93,1.0,Katherine Paiz,Business,Pantheon-Sorbonne University - Paris 1,France,16
Barbara Shelley,918261,EARLY CHILDHOOD EDUCATION,2418,7,0.5,Vaughn Jackson,Interdisciplinary,"University of California, Santa Cruz",United States of America,436
Nancy Lee,769439,COURT REPORTING,2402,50,1.0,Ebony Weiss,Engineering,Lappeenranta University of Technology,Finland,694
Michelle Branson,709327,TRANSPORTATION SCIENCES AND TECHNOLOGIES,2407,81,0.5,Elizabeth Smith,Physical Sciences,"National University of Ireland, Galway",Republic of Ireland,704
Suzan Slusher,558128,MECHANICAL ENGINEERING,3701,91,0.5,Cathy Thompson,Humanities & Liberal Arts,Tongji University,China,804
Felix McMullen,556039,LIBERAL ARTS,2403,19,0.5,Sandra Vega,Psychology & Social Work,Michigan Technological University,United States of America,577
Linda Snipes,146057,PRE-LAW AND LEGAL STUDIES,2314,36,0.5,Debra Shaw,Engineering,Kinki University,Japan,88
Mark Clark,886433,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,5500,91,1.0,Penelope Duncan,Health,Yonsei University,South Korea,655
Frankie Skinner,169937,EARLY CHILDHOOD EDUCATION,4901,74,0.5,Joseph Rives,Agriculture & Natural Resources,University of Eastern Finland,Finland,380
Clara Spence,866329,PSYCHOLOGY,6204,37,1.0,Emily Garcia,Engineering,University of Pécs,Hungary,112
James Hoffman,131026,PHARMACOLOGY,2001,63,0.5,Howard Martin,Communications & Journalism,University of Valencia,Spain,523
Rene McGinnis,168738,MEDICAL ASSISTING SERVICES,6206,62,1.0,Celeste Rubio,Humanities & Liberal Arts,Texas Tech University,United States of America,409
